Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.7853589196872779,0.6208053691275168,0.4946524064171123,0.5505952380952381,0.8307380507426062
Decision Tree,0.7249466950959488,0.4839506172839506,0.5240641711229946,0.503209242618742,0.6596383515123906
Random Forest,0.7903340440653873,0.6405693950177936,0.48128342245989303,0.549618320610687,0.813891577928364
KNN,0.7405828002842928,0.5120643431635389,0.5106951871657754,0.5113788487282463,0.7572500530617949
SVM,0.7910447761194029,0.6526717557251909,0.4572192513368984,0.5377358490566038,0.7785614817959219
Naive Bayes,0.7377398720682303,0.5046382189239332,0.7272727272727273,0.5958378970427163,0.8126892753052994
